keys,en,ru,uz,fr,es,it
signIn,Sign in,Войти,Tizimga kirish,Connexion,Iniciar sesión,Accedi
enterYourCredentials,Enter you credentials to access the platform,Введите свои учетные данные для доступа к платформе,Platformaga kirish uchun ma'lumotlaringizni kiriting,Saisissez vos identifiants pour accéder à la plateforme,Ingresa tus credenciales para acceder a la plataforma,Inserisci le tue credenziali per accedere alla piattaforma
login,Login,Авторизоваться,Tizimga kirish,Connexion,Iniciar sesión,Accedi
password,Password,Пароль,Parol,Mot de passe,Contraseña,Password
continueButton,Continue,Продолжить,Davom etish,Continuer,Continuar,Continua
signInWith,Sign in with,Войти с помощью,Tizimga kirish,Se connecter avec,Iniciar sesión con,Accedi con
maybeLater,May be later,Может быть позже,Keginroq,Peut-être plus tard,Puede ser más tarde,Potrebbe essere più tardi
byUsingThisApp,"By using this app, you agree to our Terms and Conditions.","Используя это приложение, вы соглашаетесь с нашими Условиями и положениями.",Ushbu ilovadan foydalanish orqali siz bizning shartlarimizga rozilik bildirasiz.,"En utilisant cette application, vous acceptez nos Conditions générales.","Al usar esta aplicación, aceptas nuestros Términos y Condiciones.","Utilizzando questa app, accetti i nostri Termini e Condizioni."
chooseLanguage,Choose language,Выберите язык,Tilni tanlang,Choisir la langue,Elegir idioma,Scegli la lingua
language,Language,Язык,Til,Langue,Idioma,Lingua
cities,Cities,Города,Shaharlar,Villes,Ciudades,Città
places,Places,Места,Joylar,Lieux,Lugares,Luoghi
usefulApps,Useful apps,Полезные приложения,Foydali ilovalar,Applications utiles,Aplicaciones útiles,App utili
articles,Articles,Статьи,Maqolalar,Articles,Artículos,Articoli
search,Search...,Поиск...,Qidirish...,Rechercher...,Buscar...,Cerca...
favorites,Favorites,Избранное,Sevimlilar,Favoris,Favoritos,Preferiti
viewAll,View all,Просмотреть все,Hammasini ko'rish,Tout afficher,Ver todo,Visualizza tutto
